No.;Time;;Time1;Time2;Delay;;Delay1;Delay2;Jitter
13;3,572211;;3,572211;3,801432;0,229221;;0,228932;-0,001039;-0,229971
14;3,801432;;3,801432;3,801721;0,000289;;-0,001039;-0,215985;-0,214946
15;3,801721;;3,801721;3,803049;0,001328;;-0,215985;0,21642;0,432405
16;3,803049;;3,803049;4,020362;0,217313;;0,21642;0,000724;-0,215696
17;4,020362;;4,020362;4,021255;0,000893;;0,000724;-0,038454;-0,039178
18;4,021255;;4,021255;4,021424;0,000169;;-0,038454;-0,187527;-0,149073
19;4,021424;;4,021424;4,060047;0,038623;;-0,187527;0,22615;0,413677
20;4,060047;;4,060047;4,286197;0,22615;;0,22615;-0,000296;-0,226446
21;4,286197;;4,286197;4,286197;0;;-0,000296;-0,00332;-0,003024
22;4,286197;;4,286197;4,286493;0,000296;;-0,00332;0,003254;0,006574
23;4,286493;;4,286493;4,290109;0,003616;;0,003254;9,00E-06;-0,003245
24;4,290109;;4,290109;4,290471;0,000362;;9,00E-06;-7,10E-05;-8,00E-05
25;4,290471;;4,290471;4,290824;0,000353;;-7,10E-05;-0,214571;-0,2145
26;4,290824;;4,290824;4,291248;0,000424;;-0,214571;0,203203;0,417774
27;4,291248;;4,291248;4,506243;0,214995;;0,203203;0,010767;-0,192436
28;4,506243;;4,506243;4,518035;0,011792;;0,010767;0,001025;-0,009742
29;4,518035;;4,518035;4,51906;0,001025;;0,001025;-0,000247;-0,001272
30;4,51906;;4,51906;4,51906;0;;-0,000247;-16,985397;-16,98515
31;4,51906;;4,51906;4,519307;0,000247;;-16,985397;16,945518;33,930915
32;4,519307;;4,519307;21,504951;16,985644;;16,945518;-0,178058;-17,123576
47;21,504951;;21,504951;21,545077;0,040126;;-0,178058;0,163238;0,341296
48;21,545077;;21,545077;21,763261;0,218184;;0,163238;-3,813475;-3,976713
49;21,763261;;21,763261;21,818207;0,054946;;-3,813475;3,817906;7,631381
50;21,818207;;21,818207;25,686628;3,868421;;3,817906;-17,019211;-20,837117
53;25,686628;;25,686628;25,737143;0,050515;;-17,019211;17,069573;34,088784
54;25,737143;;25,737143;42,806869;17,069726;;17,069573;-0,404997;-17,47457
83;42,806869;;42,806869;42,807022;0,000153;;-0,404997;0,405003;0,81
84;42,807022;;42,807022;43,212172;0,40515;;0,405003;-1,285387;-1,69039
85;43,212172;;43,212172;43,212319;0,000147;;-1,285387;1,241108;2,526495
86;43,212319;;43,212319;44,497853;1,285534;;1,241108;-0,171184;-1,412292
87;44,497853;;44,497853;44,542279;0,044426;;-0,171184;0,164819;0,336003
88;44,542279;;44,542279;44,757889;0,21561;;0,164819;-23,642083;-23,806902
89;44,757889;;44,757889;44,80868;0,050791;;-23,642083;23,650095;47,292178
90;44,80868;;44,80868;68,501554;23,692874;;23,650095;-0,175822;-23,825917
117;68,501554;;68,501554;68,544333;0,042779;;-0,175822;0,169128;0,34495
118;68,544333;;68,544333;68,762934;0,218601;;0,169128;-1,886642;-2,05577
119;68,762934;;68,762934;68,812407;0,049473;;-1,886642;1,872649;3,759291
120;68,812407;;68,812407;70,748522;1,936115;;1,872649;-10,626072;-12,498721
121;70,748522;;70,748522;70,811988;0,063466;;-10,626072;10,647128;21,2732
122;70,811988;;70,811988;81,501526;10,689538;;10,647128;-0,175455;-10,822583
126;81,501526;;81,501526;81,543936;0,04241;;-0,175455;0,170263;0,345718
127;81,543936;;81,543936;81,761801;0,217865;;0,170263;-10,681341;-10,851604
128;81,761801;;81,761801;81,809403;0,047602;;-10,681341;10,401179;21,08252
129;81,809403;;81,809403;92,538346;10,728943;;10,401179;0,327529;-10,07365
134;92,538346;;92,538346;92,86611;0,327764;;0,327529;-7,62624;-7,953769
135;92,86611;;92,86611;92,866345;0,000235;;-7,62624;7,572609;15,198849
136;92,866345;;92,866345;100,49282;7,626475;;7,572609;-0,164147;-7,736756
170;100,49282;;100,49282;100,546686;0,053866;;-0,164147;0,175702;0,339849
171;100,546686;;100,546686;100,764699;0,218013;;0,175702;-3,397885;-3,573587
184;100,764699;;100,764699;100,80701;0,042311;;-3,397885;3,440023;6,837908
